scotl001: ['354', '0.17246284', '0.17799352', '0.15104167'] 
jackb002: ['147', '0.18176419', '0.07826087', '0.15102975'] 
tulot001: ['203', '0.16044378', '0.11764706', '0.15096775'] 
ishit001: ['182', '0.17875712', '0.16042781', '0.15088283'] 
schaj002: ['366', '0.19765219', '0.10504202', '0.15048026'] 
giamj001: ['113', '0.20157285', '0.10638298', '0.15044248'] 
pachj001: ['508', '0.17569050', '0.12043010', '0.15025252'] 
wised001: ['246', '0.17936786', '0.15238096', '0.15019763'] 
rivej001: ['344', '0.17796849', '0.19157088', '0.14964610'] 
morrl001: ['335', '0.18260752', '0.13879004', '0.14934498'] 
tracc001: ['109', '0.16939890', '0.14432989', '0.14917128'] 
cirip001: ['277', '0.17435238', '0.10695187', '0.14913449'] 
cruzn002: ['645', '0.18361974', '0.13656388', '0.14904061'] 
uptoj001: ['632', '0.17650506', '0.11370716', '0.14901593'] 
martj006: ['440', '0.18040402', '0.17428571', '0.14899926'] 
hardj003: ['716', '0.19154531', '0.12349914', '0.14882629'] 
heisc001: ['377', '0.18519501', '0.11146497', '0.14875323'] 
browa003: ['128', '0.20755437', '0.11214953', '0.14832535'] 
stewi001: ['202', '0.20274170', '0.11180124', '0.14808652'] 
sierm001: ['159', '0.17363344', '0.13513513', '0.14798206'] 
amara001: ['310', '0.17092210', '0.13833992', '0.14794216'] 
suzui001: ['667', '0.16789681', '0.10320285', '0.14782158'] 
krate001: ['161', '0.15504682', '0.16167665', '0.14770798'] 
gomey001: ['116', '0.18078840', '0.13829787', '0.14769231'] 
hecha001: ['142', '0.18345323', '0.15306123', '0.14745308'] 
johnk003: ['587', '0.19090544', '0.10826772', '0.14743236'] 
turnj001: ['190', '0.17967072', '0.13815789', '0.14731368'] 
vicid001: ['555', '0.18029872', '0.15547025', '0.14723590'] 
hosme001: ['599', '0.18066761', '0.12981744', '0.14721920'] 
branm003: ['614', '0.16510305', '0.11796733', '0.14719506'] 
kipnj001: ['676', '0.18672141', '0.13691507', '0.14710042'] 
bartd001: ['136', '0.21834360', '0.05769231', '0.14690721'] 
barar001: ['370', '0.17859541', '0.12589929', '0.14685990'] 
nelsc001: ['381', '0.18553381', '0.13221154', '0.14681648'] 
rodra001: ['533', '0.17746846', '0.11568628', '0.14676890'] 
ellsj001: ['324', '0.18267179', '0.10800000', '0.14672217'] 
alony001: ['620', '0.17010348', '0.12500000', '0.14660724'] 
jennd002: ['563', '0.18866493', '0.09702970', '0.14652224'] 
teixm001: ['526', '0.18899457', '0.15769945', '0.14645669'] 
moort002: ['178', '0.17874999', '0.15841584', '0.14637682'] 
valbl001: ['311', '0.19564569', '0.12000000', '0.14628822'] 
davir003: ['501', '0.17750838', '0.10798122', '0.14597094'] 
ackld001: ['672', '0.20115404', '0.09885932', '0.14582224'] 
franj005: ['211', '0.17233269', '0.17368421', '0.14567527'] 
bloow001: ['339', '0.16642796', '0.08741259', '0.14540060'] 
aybae001: ['557', '0.16175438', '0.09496124', '0.14517938'] 
wellv001: ['263', '0.17535461', '0.11507937', '0.14516129'] 
dudal001: ['463', '0.18659174', '0.13348946', '0.14492753'] 
carrj001: ['544', '0.18953173', '0.09839817', '0.14488286'] 
gomec002: ['455', '0.16524521', '0.11677282', '0.14485388'] 
parra001: ['145', '0.16891412', '0.08695652', '0.14470284'] 
weekr001: ['680', '0.19027200', '0.10213415', '0.14459346'] 
snidt001: ['188', '0.18417160', '0.10843374', '0.14449918'] 
mathj002: ['246', '0.17418720', '0.13714285', '0.14427157'] 
flowt001: ['166', '0.19263946', '0.08904110', '0.14419475'] 
infao001: ['592', '0.17055957', '0.11252654', '0.14412910'] 
